
# Description of the Experiment:
#  - We generate the costs to up to 2000 tasks for 100 resources.
#  - All resources costs follow linear functions with RNG seeds starting at 100.
#  - Time costs were generated using uniformly distributed values ranging from 1 to 10.
#  - Energy costs were generated using uniformly distributed values ranging from 0.32 to 3.2.
#  - Accuracy costs were generated using uniformly distributed values ranging from 0.2 to 2.0 (then normalized).
#  - We schedule from 200 to 2000 tasks in increments of 200.
#  - We run adapted versions of OLAR; MC²MKP; ELASTIC; and FedAECS; and
#    MEC and ECMTC schedulers.
#  - We use no lower or upper task assignment limits for resources.
#  - Each sample is composed of 5 executions of the schedulers.
#  - We get 20 samples for each pair (scheduler; tasks)
#  - The order of execution of the different schedulers is randomly defined.
#    We set shuffle seed at 1000 and increase it every time we need a new order.
#  - Every result is logged to a CSV file.
Scheduler_Name,Num_Tasks,Num_Resources,Execution_Time
ELASTIC,600,100,0.02608672001224477
FedAECS,600,100,0.7097250099905068
MC²MKP,600,100,23.668714209998143
OLAR,600,100,0.019032776996027678
FedAECS,600,100,0.7071382150024874
MEC,600,100,39.21255461900728
ELASTIC,600,100,0.028719765003188513
MC²MKP,600,100,23.662740907995612
ECMTC,600,100,72.22041312900546
ELASTIC,600,100,0.02703809800732415
MEC,600,100,39.26735920700594
FedAECS,600,100,0.7021175190020585
ECMTC,600,100,72.33717591701134
OLAR,600,100,0.01862016700033564
MC²MKP,600,100,23.711186732005444
MEC,600,100,39.22682560898829
ELASTIC,600,100,0.026744836999569088
FedAECS,600,100,0.7202841930120485
MC²MKP,600,100,23.687922619996243
OLAR,600,100,0.02161147700098809
ECMTC,600,100,72.312726499993
ECMTC,600,100,72.12101083899324
MC²MKP,600,100,23.616177337011322
FedAECS,600,100,0.7088055749918567
MEC,600,100,39.18388370399771
OLAR,600,100,0.019052856994676404
ELASTIC,600,100,0.02811041999666486
FedAECS,600,100,0.7033934299979592
ECMTC,600,100,71.66637700601132
MEC,600,100,38.982755794000695
OLAR,600,100,0.01898589100164827
ELASTIC,600,100,0.026787248003529385
MC²MKP,600,100,23.633997436991194
MC²MKP,600,100,23.686373577002087
OLAR,600,100,0.02101980400038883
FedAECS,600,100,0.7126844830054324
MEC,600,100,39.149589688007836
ELASTIC,600,100,0.026594138995278627
ECMTC,600,100,72.01883781100332
FedAECS,600,100,0.7230781050020596
OLAR,600,100,0.01957444600702729
ECMTC,600,100,71.81877521600109
MC²MKP,600,100,23.59063354699174
ELASTIC,600,100,0.029335660001379438
MEC,600,100,39.04243192001013
MC²MKP,600,100,23.587027638001018
OLAR,600,100,0.01871114999812562
MEC,600,100,39.133326842988026
ELASTIC,600,100,0.027250890008872375
ECMTC,600,100,71.67246563200024
FedAECS,600,100,0.7152533919870621
MEC,600,100,39.22181064898905
FedAECS,600,100,0.71628779299499
MC²MKP,600,100,23.53375567799958
ECMTC,600,100,71.45254189299885
ELASTIC,600,100,0.02716940999380313
OLAR,600,100,0.019521048991009593
OLAR,600,100,0.019844665002892725
MC²MKP,600,100,23.635234512999887
FedAECS,600,100,0.7092416359955678
ECMTC,600,100,71.7682779589959
ELASTIC,600,100,0.02654251499916427
MEC,600,100,39.07917546200042
MEC,600,100,39.13439524800924
MC²MKP,600,100,23.418237878999207
OLAR,600,100,0.01928805699571967
ECMTC,600,100,72.19637987100577
FedAECS,600,100,0.7132114389969502
ELASTIC,600,100,0.026768253010232
MEC,600,100,39.445960519005894
MC²MKP,600,100,23.58707597400644
FedAECS,600,100,0.7117224789981265
OLAR,600,100,0.018886147998273373
ECMTC,600,100,71.72019292300683
ELASTIC,600,100,0.026704397998400964
ELASTIC,600,100,0.026641158008715138
MC²MKP,600,100,23.17380589399545
ECMTC,600,100,71.55037322601129
MEC,600,100,38.825420556997415
FedAECS,600,100,0.7176665269944351
OLAR,600,100,0.01907957899675239
FedAECS,600,100,0.70883569700527
ELASTIC,600,100,0.026794043005793355
MEC,600,100,39.12519095400057
MC²MKP,600,100,23.601140754006337
ECMTC,600,100,71.90932456399605
OLAR,600,100,0.019202359006158076
ELASTIC,600,100,0.0269715600006748
FedAECS,600,100,0.7119397969945567
ECMTC,600,100,71.99145065501216
MEC,600,100,39.19252312400204
OLAR,600,100,0.020984193004551344
MC²MKP,600,100,23.740739550004946
ECMTC,600,100,72.15449278798769
MEC,600,100,39.249831697001355
ELASTIC,600,100,0.027692083996953443
FedAECS,600,100,0.7224698369973339
MC²MKP,600,100,23.304905279001105
OLAR,600,100,0.018754825010546483
MC²MKP,800,100,42.158085445000324
ELASTIC,800,100,0.027649804003885947
FedAECS,800,100,0.9672926750063198
OLAR,800,100,0.024527424000552855
ECMTC,800,100,128.55220465699676
MEC,800,100,69.98219264199724
ECMTC,800,100,128.6025259260059
ELASTIC,800,100,0.027212355998926796
MEC,800,100,69.63900050500524
OLAR,800,100,0.024275143994600512
MC²MKP,800,100,41.698733191995416
FedAECS,800,100,0.979831226009992
ECMTC,800,100,127.72700441398774
ELASTIC,800,100,0.029124956010491587
MEC,800,100,69.06468149099965
OLAR,800,100,0.024529440008336678
MC²MKP,800,100,41.49413751300017
FedAECS,800,100,0.9749700889951782
ECMTC,800,100,128.3044661390013
FedAECS,800,100,0.9563036820036359
MC²MKP,800,100,41.9291482080007
ELASTIC,800,100,0.026918406001641415
MEC,800,100,69.80113409999467
OLAR,800,100,0.0246709000057308
FedAECS,800,100,0.9538142890087329
MC²MKP,800,100,42.04273642599583
ECMTC,800,100,127.80075581200072
OLAR,800,100,0.028062840006896295
ELASTIC,800,100,0.02793655999994371
MEC,800,100,69.66848040699551
MC²MKP,800,100,42.09886978499708
MEC,800,100,69.73406596199493
ECMTC,800,100,126.76053864799906
FedAECS,800,100,0.9724480699951528
OLAR,800,100,0.024670423998031765
ELASTIC,800,100,0.028451998994569294
OLAR,800,100,0.02551297399622854
ELASTIC,800,100,0.027324366994434968
ECMTC,800,100,128.9191827780014
MEC,800,100,69.89966158500465
FedAECS,800,100,0.9713889420090709
MC²MKP,800,100,41.83190728900081
ECMTC,800,100,128.31496163299016
FedAECS,800,100,0.9694218049990013
ELASTIC,800,100,0.026994069005013444
MEC,800,100,69.88057491499058
OLAR,800,100,0.026312361005693674
MC²MKP,800,100,41.75273608799034
OLAR,800,100,0.02507255700766109
FedAECS,800,100,0.986516795004718
ECMTC,800,100,128.16467000999546
MC²MKP,800,100,41.51648802201089
MEC,800,100,69.18352299800608
ELASTIC,800,100,0.027004474992281757
ELASTIC,800,100,0.027205486010643654
FedAECS,800,100,0.9691457439912483
OLAR,800,100,0.0255255749943899
ECMTC,800,100,128.1827736369887
MC²MKP,800,100,42.294967859997996
MEC,800,100,69.8447694570059
MEC,800,100,69.901964899007
OLAR,800,100,0.025302159003331326
ECMTC,800,100,128.39992452900333
ELASTIC,800,100,0.026957234993460588
FedAECS,800,100,0.9627981720113894
MC²MKP,800,100,41.83399745100178
ECMTC,800,100,128.40973870099697
ELASTIC,800,100,0.02652513500652276
MC²MKP,800,100,41.869632276997436
MEC,800,100,69.5992566030036
OLAR,800,100,0.02533212500566151
FedAECS,800,100,0.9567866409925045
ELASTIC,800,100,0.027089138005976565
MC²MKP,800,100,41.705931154996506
ECMTC,800,100,128.830321343994
FedAECS,800,100,0.9619156229891814
OLAR,800,100,0.024424116010777652
MEC,800,100,69.10500323399901
MC²MKP,800,100,41.476998316007666
OLAR,800,100,0.024816826000460424
FedAECS,800,100,0.9676789100049064
ECMTC,800,100,127.77714723699319
MEC,800,100,68.9949846919917
ELASTIC,800,100,0.03360218499437906
ECMTC,800,100,128.32770804200845
OLAR,800,100,0.02479124099772889
ELASTIC,800,100,0.026891127999988385
MEC,800,100,68.8645266139938
MC²MKP,800,100,41.34200989000965
FedAECS,800,100,0.9560861229983857
ELASTIC,800,100,0.02686106700275559
ECMTC,800,100,127.61104853499273
MEC,800,100,69.28153929600376
